,X,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,SI,GHSI,WGI,ï..iso_code,continent,Obesity_rate,Vaccinationph2,Count
18475,18484,Somalia,115,0.05119777,1496.194,5.428571,2.731,23.5,NA,NA,10.325,41.67,16.6,-1.83,SOM,Africa,8.3,10.325,0
2982,2883,Burkina Faso,115,0.01807142,915.199,0,2.409,70.151,NA,1703.102,10.23,13.89,30.1,-0.04,BFA,Africa,5.6,10.23,0
12317,12336,Malawi,115,0.03064108,4182.159,15.28571,2.979,197.519,27.449,1095.042,9.433333,37.96,28,-0.06,MWI,Africa,5.8,9.433333,0
12620,12594,Mali,115,0.02377493,1344.635,4.857143,2.519,15.196,NA,2014.306,7.24,40.74,29,-0.31,MLI,Africa,8.6,7.24,0
14727,14645,Niger,115,0.03504103,333.9821,1.857143,2.553,16.955,9.053,926,7.02,16.67,32.2,-0.58,NER,Africa,5.5,7.02,0
20293,20302,Tanzania,115,0.02373587,513.3,0,3.108,64.699,NA,2683.304,NA,13.89,36.4,-0.36,TZA,Africa,8.4,6.78,0
15781,15804,Papua New Guinea,115,0.01548296,4062.769,96.14286,3.808,18.22,NA,3823.194,5.4,46.56286,27.8,0.04, , ,21.3,5.4,0
18931,18858,South Sudan,115,0.008072533,1555.106,6.142857,3.441,NA,NA,1569.888,NA,36.11,21.7,-1.98, , ,8.6,4.8,0
3434,3370,Cameroon,115,0.01612915,4272.029,11.71429,3.165,50.885,NA,3364.926,4.56,22.22,34.4,-1.1,CMR,Africa,11.4,4.56,0
12170,12077,Madagascar,115,0.02143297,2148.701,32.28571,2.929,43.951,13.779,1416.44,4.15,46.3,40.1,-0.31, , ,5.3,4.15,0
22710,22625,Yemen,115,0.1813458,349.2214,3,2.922,53.508,9.993,1479.147,NA,26.85,18.5,-1.75, , ,17.1,2.285,0
3887,3929,Chad,115,0.02619658,409.2271,1.285714,2.486,11.833,NA,1768.153,NA,32.39,28.8,-1.45, , ,6.1,2.28,0
8562,8473,Haiti,115,0.02701381,2620.185,6.571429,4.8,398.448,15.775,1653.173,2.02,39.81,31.5,-0.75,HTI,North America,22.7,2.02,0
5242,5240,Democratic Republic of Congo,115,0.01551731,868.9304,28.57143,3.02,35.879,NA,808.133,0.86,39.81,26.5,-1.51,COD,Africa,6.7,0.86,0
3128,3098,Burundi,115,0.000997361,2955.92,12.42857,2.562,423.062,112.1415,702.225,NA,26.85,22.8,-1.65,BDI,Africa,5.4,0.07,0
6445,6358,Eritrea,115,0.01061621,2633.56,1.571429,3.607,44.304,NA,1510.459,NA,NA,22.4,-2.18, , ,5,0,0
16688,16589,Puerto Rico,115,NA,NA,NA,15.168,376.232,787.4579,35044.67,NA,NA,NA,0.49,PRI,North America,NA,0,0
5094,5086,Cuba,116,0.00791859,95742,529.1429,14.738,110.408,NA,NA,312.9971,22.28,35.2,-1.44,CUB,North America,24.6,312.9971,1
21652,21655,United Arab Emirates,116,0.002605913,93549.29,411.7143,1.144,112.442,14995.1,67293.48,256.12,32.35,46.7,-1.11,ARE,Asia,31.7,256.12,1
4040,3956,Chile,116,0.01348791,163247.2,18155.43,11.087,24.282,1710.225,22767.04,251.8214,29.18714,58.3,1.05,CHL,South America,28,251.8214,1
18022,17940,Singapore,116,0.001285988,150431.7,16561.86,12.922,7915.731,NA,85535.38,244.9886,43.54143,58.7,-0.06,SGP,Asia,6.1,244.9886,1
16812,16792,Qatar,116,0.001871447,132978.1,151,1.307,227.322,2219.485,116935.6,238.23,44.81,41.2,-1.2,QAT,Asia,35.1,238.23,1
1483,1378,Bahrain,116,0.002760571,359175.2,1733.571,2.372,1935.907,6463.033,43290.71,231.64,29.63,39.4,-1.41,BHR,Asia,29.8,231.64,1
18786,18706,South Korea,116,0.001885923,95889.04,266328.6,13.914,527.967,1384.996,35938.37,231.2414,40.74,70.2,-2.2,KOR,Asia,4.7,231.2414,1
16538,16545,Portugal,116,0.006132092,336978.6,13188.86,21.502,112.371,3771.579,27936.9,230.16,17.59,60.3,1.2,PRT,Europe,20.8,230.16,1
9930,9955,Italy,116,0.01193894,221402.6,43427.43,23.021,205.859,3210.064,35220.08,228.1657,43.73,56.2,1.05,ITA,Europe,19.9,228.1657,1
22112,22147,Uruguay,116,0.008239352,250093.4,1659,14.655,19.751,1682.148,20551.41,225.7314,15.46571,41.3,1.21,URY,South America,27.9,225.7314,1
4196,4102,China,116,0.03833499,89.91071,703.4286,10.641,147.674,NA,15308.71,222.02,59.54,48.2,-1.45,CHN,Asia,6.2,222.02,1
5398,5344,Denmark,116,0.001705669,489476.7,17024.71,19.677,136.52,10791.3,46682.51,221.6471,11.65,70.4,1.61,DNK,Europe,19.7,221.6471,1
1938,1909,Belgium,116,0.008413124,308959,8298.857,18.571,375.564,2753.891,42658.58,215.7143,26.87,61,1.4,BEL,Europe,22.1,215.7143,1
3285,3289,Cambodia,116,0.02292479,7912.667,304.1429,4.412,90.672,173.4115,3645.07,214.7483,27.33,39.2,-1.22, , ,3.9,214.7483,1
9623,9517,Ireland,116,0.004959106,263245.7,3085.143,13.928,69.874,2300.221,67335.29,212.81,12.30143,59,1.32,IRL,Europe,25.3,212.81,1
3591,3492,Canada,116,0.01107546,86992.18,5752.714,16.984,4.037,1533.935,44017.59,211.9557,44.59286,75.3,1.52,CAN,North America,29.4,211.9557,1
7666,7667,Germany,116,0.007841205,190084.8,177217.9,21.453,237.016,1357.556,45229.25,210.1943,43.26857,66,1.42,DEU,Europe,22.3,210.1943,1
7062,6987,France,116,0.00602344,341646.8,58335.57,19.718,122.578,3703.49,38605.67,209.0929,29.80429,68.2,1.18,FRA,Europe,21.6,209.0929,1
718,632,Argentina,116,0.01417993,196533.5,5722.714,11.198,16.177,769.833,18933.91,208.9514,21.28714,58.6,0.57,ARG,South America,28.3,208.9514,1
1029,1014,Australia,116,0.001594671,130996.6,29421.57,15.504,3.202,2473.17,44648.71,208.5771,36.25143,75.5,1.43,AUS,Oceania,20.1,208.5771,1
21807,21700,United Kingdom,116,0.009806344,285129.9,54754.29,18.517,272.898,6975.136,39753.24,207.77,23.15,77.9,1.38,GBR,Europe,27.8,207.77,0
15031,14942,Norway,116,0.001281209,242623.3,7325.571,16.821,14.462,2011.087,64800.06,207.59,11.11,64.6,1.73,NOR,Europe,23.1,207.59,0
14432,14391,New Zealand,116,0.000417958,50037.35,17017.71,15.322,18.206,1327.178,36085.84,207.2643,43.09286,54,1.62,NZL,Oceania,30.8,207.2643,0
6906,6801,Finland,116,0.003619356,124267.9,6930.714,21.228,18.136,1823.079,40585.72,207.17,24.07,68.7,1.61,FIN,Europe,22.2,207.17,0
1180,1180,Austria,116,0.006282845,323005.1,33654,19.202,106.749,18281.75,45436.69,203.6243,36.86286,58.5,1.38,AUT,Europe,29,203.6243,0
22566,22485,Vietnam,116,0.008901824,47122.9,196409.1,7.15,308.127,822.5294,6171.884,201.922,66.67,49.1,-1.45, , ,2.1,201.922,0
20003,20031,Taiwan,116,0.04083554,874.2703,61.14286,NA,NA,271.9549,NA,201.3017,26.56714,NA,0.98,TWN,Asia,NA,201.3017,0
12474,12498,Malaysia,116,0.009126573,107603.7,30489.86,6.293,96.254,1566.026,26808.16,200.2329,39.99714,62.2,-0.08,MYS,Asia,15.6,200.2329,0
19087,19007,Spain,116,0.009037149,234245.9,18013.86,19.436,93.105,1824.544,34272.36,196.28,36.77429,65.9,1.06,ESP,Europe,23.8,196.28,0
19547,19579,Sweden,116,0.007148116,233090.9,1594.714,19.985,24.718,1723.959,46949.28,196.1,15.47,72.1,1.61,SWE,Europe,20.6,196.1,0
7966,7902,Greece,116,0.01038696,243403.1,16164.86,20.396,83.479,6445.355,24574.38,194.92,54.37571,53.8,0.86,GRC,Europe,24.9,194.92,0
10235,10206,Japan,116,0.004615886,43962,56740.14,27.049,347.778,309.7389,39002.22,192.7986,47.22,59.8,1.02,JPN,Asia,4.3,192.7986,0
9775,9737,Israel,116,0.002799555,389581.5,7215.429,11.733,402.606,5070.221,33132.32,191.1871,21.3,47.3,0.65,ISR,Asia,26.1,191.1871,0
16082,16104,Peru,116,0.05985601,103613.8,1227.286,7.151,25.129,820.7311,12236.71,190.1371,46.43143,49.2,0.23,PER,South America,19.47,190.1371,0
14281,14177,Netherlands,116,0.003200634,386310.4,68824.43,18.779,508.544,1648.938,48472.54,187.1,30.5,35.1,1.6,NLD,Europe,20.4,187.1,0
4645,4610,Costa Rica,116,0.009924612,157794.2,1285.857,9.468,96.079,575.9706,15525,184.96,40.32286,45.1,1.14,CRI,North America,25.7,184.96,0
2684,2650,Brazil,116,0.02242867,135193.5,50362,8.552,25.04,NA,14103.45,184.3729,34.93,59.7,0.39,BRA,South America,22.1,184.3729,0
12918,12879,Mauritius,116,0.005299162,131936.3,1652.286,10.945,622.962,276.867,20292.74,NA,42.86,34.9,0.76,MUS,Africa,10.8,181.12,0
5848,5792,Ecuador,116,0.04201936,46658.66,1077.714,7.104,66.939,143.7703,10581.94,179.7329,34.68714,50.1,0.03,ECU,South America,19.9,179.7329,0
19698,19622,Switzerland,116,0.004475392,337418.5,25033.14,18.436,214.243,2196.959,57410.17,178.37,14.81,67,1.62,CHE,Europe,15.6,178.37,0
10836,10730,Kuwait,116,0.004083319,146076.3,493.7143,2.345,232.128,1818.825,65530.54,177.85,21.94,46.1,-0.59,KWT,Asia,37.9,177.85,0
19243,19203,Sri Lanka,116,0.0250716,29850.13,929.4286,10.069,341.955,341.1261,11669.08,176.3829,39.26429,33.9,0.01,LKA,Asia,5.2,176.3829,0
20453,20369,Thailand,116,0.007650342,42498.06,21956.43,11.373,135.132,300.1663,16277.67,174.39,48.61,73.2,-1.01,THA,Asia,10,174.39,0
